"Wavelength (nm)", "Reflectance (%)"
969.1, 27.8438
969.78, 27.9277
970.46, 28.0044
971.14, 28.0882
971.82, 28.1787
972.5, 28.2692
973.18, 28.3489
973.86, 28.4664
974.54, 28.5826
975.22, 28.6716
975.89, 28.7551
976.57, 28.83
977.25, 28.8896
977.93, 28.9638
978.61, 29.0447
979.29, 29.1252
979.97, 29.181
980.64, 29.2378
981.32, 29.2993
982, 29.3435
982.68, 29.3923
983.36, 29.4651
984.03, 29.5531
984.71, 29.6412
985.39, 29.7215
986.07, 29.7872
986.75, 29.836
987.42, 29.8812
988.1, 29.9526
988.78, 30.0264
989.46, 30.0914
990.13, 30.157
990.81, 30.2278
991.49, 30.2807
992.16, 30.3218
992.84, 30.3727
993.52, 30.4192
994.19, 30.4734
994.87, 30.5421
995.55, 30.6197
996.22, 30.6839
996.9, 30.7524
997.58, 30.8253
998.25, 30.8911
998.93, 30.9495
999.61, 31.0097
1000.28, 31.0751
1000.96, 31.1288
1001.63, 31.1836
1002.31, 31.2595
1002.99, 31.3189
1003.66, 31.3747
1004.34, 31.4308
1005.01, 31.4709
1005.69, 31.5006
1006.36, 31.5254
1007.04, 31.5393
1007.71, 31.5651
1008.39, 31.5977
1009.06, 31.6381
1009.74, 31.6757
1010.41, 31.7128
1011.09, 31.7255
1011.76, 31.7615
1012.44, 31.7792
1013.11, 31.789
1013.79, 31.819
1014.46, 31.8272
1015.14, 31.8647
1015.81, 31.9335
1016.49, 31.9693
1017.16, 32.0149
1017.83, 32.0763
1018.51, 32.1242
1019.18, 32.1813
1019.86, 32.232
1020.53, 32.2587
1021.2, 32.2849
1021.88, 32.3317
1022.55, 32.3726
1023.22, 32.4405
1023.9, 32.4785
1024.57, 32.482
1025.24, 32.4977
1025.92, 32.5322
1026.59, 32.535
1027.26, 32.548
1027.94, 32.5642
1028.61, 32.6064
1029.28, 32.6417
1029.96, 32.6746
1030.63, 32.6818
1031.3, 32.6834
1031.97, 32.6479
1032.65, 32.636
1033.32, 32.6856
1033.99, 32.7624
1034.66, 32.7786
1035.33, 32.795
1036.01, 32.8289
1036.68, 32.8488
1037.35, 32.8592
1038.02, 32.8716
1038.69, 32.8739
1039.37, 32.9085
1040.04, 32.942
1040.71, 33.0021
1041.38, 33.0628
1042.05, 33.0858
1042.72, 33.087
1043.39, 33.0686
1044.07, 33.0687
1044.74, 33.079
1045.41, 33.0825
1046.08, 33.0851
1046.75, 33.0963
1047.42, 33.0917
1048.09, 33.0947
1048.76, 33.1021
1049.43, 33.0839
1050.1, 33.0493
1050.77, 33.0419
1051.44, 33.0095
1052.11, 33.0021
1052.78, 33.0217
1053.45, 33.0069
1054.12, 33.0141
1054.79, 33.0329
1055.46, 33.0018
1056.13, 33.0073
1056.8, 33.0194
1057.47, 33.011
1058.14, 33.0283
1058.81, 33.0635
1059.48, 33.0926
1060.15, 33.1332
1060.82, 33.1749
1061.49, 33.1894
1062.16, 33.1894
1062.83, 33.1925
1063.5, 33.1715
1064.16, 33.1556
1064.83, 33.183
1065.5, 33.1867
1066.17, 33.1911
1066.84, 33.2257
1067.51, 33.2145
1068.18, 33.2047
1068.84, 33.1701
1069.51, 33.159
1070.18, 33.1374
1070.85, 33.1282
1071.52, 33.1641
1072.18, 33.1568
1072.85, 33.1234
1073.52, 33.0511
1074.19, 32.9929
1074.86, 32.9583
1075.52, 32.9252
1076.19, 32.8812
1076.86, 32.8769
1077.53, 32.9191
1078.19, 32.8814
1078.86, 32.8997
1079.53, 32.8497
1080.19, 32.8298
1080.86, 32.7877
1081.53, 32.7089
1082.2, 32.709
1082.86, 32.6318
1083.53, 32.6259
1084.2, 32.6142
1084.86, 32.6055
1085.53, 32.6688
1086.19, 32.5679
1086.86, 32.5015
1087.53, 32.4561
1088.19, 32.4283
1088.86, 32.3544
1089.53, 32.2265
1090.19, 32.3
1090.86, 32.3577
1091.52, 32.3348
1092.19, 32.3198
1092.85, 32.4109
1093.52, 32.3581
1094.18, 32.2645
1094.85, 32.3958
1095.52, 32.0563
1096.18, 31.8922
1096.85, 31.6077
1097.51, 31.3297
1098.18, 31.1116
1098.84, 30.8676
1099.51, 30.6995
1100.17, 30.3563
